weather_id,city_id,date_time,local_time,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,weather_main,weather_description,weather_icon,sunrise,sunset
810,65,2025-06-26 20:54:00,2025-06-27 05:54:00,8.34,6.17,7.16,8.72,1030,69,10000,3.6,300,75,Clouds,broken clouds,04n,2025-06-26 21:01:00,2025-06-27 06:55:00
811,1,2025-06-26 21:06:00,2025-06-27 05:06:00,25.44,26.18,24.03,25.91,1006,82,10000,1.54,230,75,Clouds,broken clouds,04d,2025-06-26 19:27:00,2025-06-27 10:01:00
812,2,2025-06-26 21:13:00,2025-06-27 01:43:00,31.06,37.76,31.06,31.06,1000,70,4000,4.12,80,20,Haze,haze,50n,2025-06-26 23:55:00,2025-06-27 13:53:00
813,3,2025-06-26 21:13:00,2025-06-27 04:13:00,26.99,NaN,26.99,26.99,1007,83,10000,NaN,0,0,Clear,clear sky,01d,2025-06-26 20:52:00,2025-06-27 11:02:00
814,27,2025-06-26 21:03:00,2025-06-26 22:03:00,23.96,24.13,23.72,24.38,1021,66,10000,3.09,220,0,Clear,clear sky,01n,2025-06-26 03:49:00,2025-06-26 19:58:00
815,30,2025-06-26 21:10:00,2025-06-27 05:10:00,19.88,20.4,19.88,19.88,1009,95,10000,0.33,191,99,Clouds,overcast clouds,04d,2025-06-26 20:12:00,2025-06-27 10:57:00
816,33,2025-06-26 21:08:00,2025-06-26 21:08:00,18.6,17.82,17.19,19.41,1017,50,10000,4.47,305,68,Clouds,broken clouds,04n,2025-06-26 03:45:00,2025-06-26 20:22:00
817,44,2025-06-26 21:13:00,2025-06-26 16:13:00,23.2,23.14,21.61,24.96,1018,60,10000,7.72,60,100,Clouds,overcast clouds,04d,2025-06-26 09:26:00,2025-06-27 00:31:00
818,56,2025-06-26 21:13:00,2025-06-27 04:13:00,28.79,33.76,28.29,29.43,1009,78,10000,1.54,130,75,Clouds,broken clouds,04n,2025-06-26 23:02:00,2025-06-27 11:14:00
819,59,2025-06-26 21:13:00,2025-06-26 22:13:00,27.02,27.76,25.85,28.09,1020,55,10000,4.12,250,0,Clear,clear sky,01n,2025-06-26 04:19:00,2025-06-26 19:29:00
820,65,2025-06-26 21:13:00,2025-06-27 06:13:00,8.41,6.25,7.16,8.72,1030,69,10000,3.6,300,75,Clouds,broken clouds,04d,2025-06-26 21:01:00,2025-06-27 06:55:00
821,1,2025-06-27 16:19:00,2025-06-28 00:19:00,26.25,26.25,24.88,27.02,1005,74,10000,3.6,10,75,Clouds,broken clouds,04n,2025-06-27 19:28:00,2025-06-28 10:01:00
822,2,2025-06-27 16:23:00,2025-06-27 20:53:00,33.06,40.06,33.06,33.06,999,62,4500,2.06,100,40,Haze,haze,50n,2025-06-26 23:55:00,2025-06-27 13:53:00
823,3,2025-06-27 16:23:00,2025-06-27 23:23:00,26.99,30.6,26.99,26.99,1007,89,10000,NaN,210,0,Clear,clear sky,01n,2025-06-27 20:52:00,2025-06-28 11:02:00
824,27,2025-06-27 16:18:00,2025-06-27 17:18:00,27.71,28.47,26.32,29.58,1024,54,10000,4.12,270,40,Clouds,scattered clouds,03d,2025-06-27 03:49:00,2025-06-27 19:58:00
825,30,2025-06-27 16:23:00,2025-06-28 00:23:00,24.88,25.72,23.86,24.88,1008,88,8000,1.54,180,75,Mist,mist,50n,2025-06-27 20:13:00,2025-06-28 10:57:00
826,33,2025-06-27 16:18:00,2025-06-27 16:18:00,26.39,26.39,24.95,27.88,1019,55,10000,5.36,184,70,Clouds,broken clouds,04d,2025-06-27 03:45:00,2025-06-27 20:22:00
827,44,2025-06-27 16:23:00,2025-06-27 11:23:00,21.33,20.8,19.94,22.23,1024,49,10000,6.69,90,100,Clouds,overcast clouds,04d,2025-06-27 09:27:00,2025-06-28 00:31:00
828,56,2025-06-27 16:23:00,2025-06-27 23:23:00,29.07,34.5,28.85,29.99,1010,78,10000,2.06,130,75,Clouds,broken clouds,04n,2025-06-27 23:02:00,2025-06-28 11:14:00
829,59,2025-06-27 16:23:00,2025-06-27 17:23:00,30.73,32.36,29.27,33.81,1021,51,10000,4.63,100,0,Clear,clear sky,01d,2025-06-27 04:20:00,2025-06-27 19:29:00
830,65,2025-06-27 16:23:00,2025-06-28 01:23:00,9.53,7.62,7.41,10.22,1029,80,10000,3.6,310,61,Clouds,broken clouds,04n,2025-06-27 21:01:00,2025-06-28 06:56:00
831,1,2025-06-27 16:27:00,2025-06-28 00:27:00,26.12,26.12,24.88,27.02,1005,75,10000,3.6,10,75,Clouds,broken clouds,04n,2025-06-27 19:28:00,2025-06-28 10:01:00
832,2,2025-06-27 16:27:00,2025-06-27 20:57:00,33.06,40.06,33.06,33.06,999,62,4500,2.06,100,40,Haze,haze,50n,2025-06-26 23:55:00,2025-06-27 13:53:00
833,3,2025-06-27 16:27:00,2025-06-27 23:27:00,26.99,30.6,26.99,26.99,1007,89,10000,NaN,210,0,Clear,clear sky,01n,2025-06-27 20:52:00,2025-06-28 11:02:00
834,27,2025-06-27 16:17:00,2025-06-27 17:17:00,27.71,28.47,26.32,29.58,1024,54,10000,4.12,270,40,Clouds,scattered clouds,03d,2025-06-27 03:49:00,2025-06-27 19:58:00
835,30,2025-06-27 16:27:00,2025-06-28 00:27:00,24.88,25.72,23.86,24.88,1008,88,8000,1.54,180,75,Mist,mist,50n,2025-06-27 20:13:00,2025-06-28 10:57:00
836,33,2025-06-27 16:23:00,2025-06-27 16:23:00,26.5,26.5,24.97,27.9,1019,54,10000,5.36,229,68,Clouds,broken clouds,04d,2025-06-27 03:45:00,2025-06-27 20:22:00
837,44,2025-06-27 16:27:00,2025-06-27 11:27:00,21.31,20.78,19.94,22.17,1024,49,10000,6.69,90,100,Clouds,overcast clouds,04d,2025-06-27 09:27:00,2025-06-28 00:31:00
838,56,2025-06-27 16:27:00,2025-06-27 23:27:00,29.07,34.5,28.85,29.99,1010,78,10000,2.06,130,75,Clouds,broken clouds,04n,2025-06-27 23:02:00,2025-06-28 11:14:00
839,59,2025-06-27 16:27:00,2025-06-27 17:27:00,30.75,32.4,29.27,33.81,1021,51,10000,4.63,100,0,Clear,clear sky,01d,2025-06-27 04:20:00,2025-06-27 19:29:00
840,65,2025-06-27 16:25:00,2025-06-28 01:25:00,9.53,7.62,7.41,10.22,1029,79,10000,3.6,310,61,Clouds,broken clouds,04n,2025-06-27 21:01:00,2025-06-28 06:56:00
841,1,2025-06-27 17:23:00,2025-06-28 01:23:00,25.97,25.97,24.78,26.47,1005,73,10000,2.57,360,20,Clouds,few clouds,02n,2025-06-27 19:28:00,2025-06-28 10:01:00
842,2,2025-06-27 17:23:00,2025-06-27 21:53:00,33.06,40.06,33.06,33.06,1000,62,4500,2.57,170,40,Haze,haze,50n,2025-06-26 23:55:00,2025-06-27 13:53:00
843,3,2025-06-27 17:23:00,2025-06-28 00:23:00,26.99,30.6,26.99,26.99,1007,89,10000,NaN,210,0,Clear,clear sky,01n,2025-06-27 20:52:00,2025-06-28 11:02:00
844,27,2025-06-27 17:20:00,2025-06-27 18:20:00,27.53,28.34,26.4,28.73,1024,55,10000,3.6,280,100,Clouds,overcast clouds,04d,2025-06-27 03:49:00,2025-06-27 19:58:00
845,30,2025-06-27 17:23:00,2025-06-28 01:23:00,24.88,25.72,23.86,24.88,1008,88,6000,0.51,180,75,Mist,mist,50n,2025-06-27 20:13:00,2025-06-28 10:57:00
846,33,2025-06-27 17:15:00,2025-06-27 17:15:00,25.4,25.38,24.44,26.54,1019,53,10000,8.49,191,55,Clouds,broken clouds,04d,2025-06-27 03:45:00,2025-06-27 20:22:00
847,44,2025-06-27 17:22:00,2025-06-27 12:22:00,21.86,21.3,20.02,22.93,1024,46,10000,7.2,110,100,Clouds,overcast clouds,04d,2025-06-27 09:27:00,2025-06-28 00:31:00
848,56,2025-06-27 17:23:00,2025-06-28 00:23:00,28.86,33.94,28.29,29.99,1010,78,10000,1.54,100,75,Clouds,broken clouds,04n,2025-06-27 23:02:00,2025-06-28 11:14:00
